timestamp,value
2025-10-29 22:17:02,2117
2025-10-29 22:17:08,2191
2025-10-29 22:17:13,2259
2025-10-29 22:17:18,1881
2025-10-29 22:17:24,1962
2025-10-29 22:17:29,2044
2025-10-29 22:17:34,2127
2025-10-29 22:17:40,2217
2025-10-29 22:17:45,1894
2025-10-29 22:17:50,1955
2025-10-29 22:17:56,2033
2025-10-29 22:18:01,2098
2025-10-29 22:18:06,2171
2025-10-29 22:18:12,2237
2025-10-29 22:18:17,1864
2025-10-29 22:18:22,1944
2025-10-29 22:18:28,2030
2025-10-29 22:18:33,2111
2025-10-29 22:18:38,2195
2025-10-29 22:18:44,1860
2025-10-29 22:18:49,1938
2025-10-29 22:18:54,2017
2025-10-29 22:19:00,2079
2025-10-29 22:19:05,2161
2025-10-29 22:19:10,2236
2025-10-29 22:19:16,1849
2025-10-29 22:19:21,1924
2025-10-29 22:19:26,2013
2025-10-29 22:19:32,2095
2025-10-29 22:19:37,2172
2025-10-29 22:19:43,2251
2025-10-29 22:19:48,1919
2025-10-29 22:19:53,1997
2025-10-29 22:19:59,2060
2025-10-29 22:20:04,2134
2025-10-29 22:20:09,2202
2025-10-29 22:20:14,1835
2025-10-29 22:20:20,1906
2025-10-29 22:20:25,1985
2025-10-29 22:20:30,2069
2025-10-29 22:20:36,2147
2025-10-29 22:20:41,2233
2025-10-29 22:20:46,1905
2025-10-29 22:20:52,1973
2025-10-29 22:20:57,2042
2025-10-29 22:21:02,2103
2025-10-29 22:21:08,2178
2025-10-29 22:21:13,2249
2025-10-29 22:21:18,1894
2025-10-29 22:21:24,1965
2025-10-29 22:21:29,2044
2025-10-29 22:21:34,2124
2025-10-29 22:21:39,2206
2025-10-29 22:21:45,1879
2025-10-29 22:21:50,1953
2025-10-29 22:21:55,2038
2025-10-29 22:22:01,2096
2025-10-29 22:22:06,2169
2025-10-29 22:22:11,2239
2025-10-29 22:22:17,1876
2025-10-29 22:22:22,1952
2025-10-29 22:22:27,2039
2025-10-29 22:22:33,2115
2025-10-29 22:22:38,2190
2025-10-29 22:22:43,1861
2025-10-29 22:22:49,1943
2025-10-29 22:22:54,2011
2025-10-29 22:22:59,2081
2025-10-29 22:23:05,2158
2025-10-29 22:23:10,2225
2025-10-29 22:23:15,1847
2025-10-29 22:23:21,1916
2025-10-29 22:23:26,1997
2025-10-29 22:23:31,2088
2025-10-29 22:23:37,2149
2025-10-29 22:23:42,2233
2025-10-29 22:23:47,1903
2025-10-29 22:23:53,1983
2025-10-29 22:23:58,2060
2025-10-29 22:24:03,2133
2025-10-29 22:24:09,2211
2025-10-29 22:24:14,1846
2025-10-29 22:24:19,1923
2025-10-29 22:24:25,2003
2025-10-29 22:24:30,2091
2025-10-29 22:24:35,2165
2025-10-29 22:24:41,2245
2025-10-29 22:24:46,1912
2025-10-29 22:24:51,1979
2025-10-29 22:24:57,2061
2025-10-29 22:25:02,2126
2025-10-29 22:25:07,2207
2025-10-29 22:25:13,2274
2025-10-29 22:25:18,1934
2025-10-29 22:25:23,2003
2025-10-29 22:25:29,2089
2025-10-29 22:25:34,2172
2025-10-29 22:25:39,2253
2025-10-29 22:25:45,1917
2025-10-29 22:25:50,1983
2025-10-29 22:25:55,2073
2025-10-29 22:26:01,2137
2025-10-29 22:26:06,2209
2025-10-29 22:26:11,2277
2025-10-29 22:26:17,1925
2025-10-29 22:26:22,2013
2025-10-29 22:26:28,2106
2025-10-29 22:26:34,2190
2025-10-29 22:26:39,2277
2025-10-29 22:26:44,1933
2025-10-29 22:26:50,2008
2025-10-29 22:26:55,2094
2025-10-29 22:27:00,2175
2025-10-29 22:27:06,2247
2025-10-29 22:27:11,2322
2025-10-29 22:27:17,1968
2025-10-29 22:27:22,2043
2025-10-29 22:27:27,2137
2025-10-29 22:27:33,2220
2025-10-29 22:27:38,2300
2025-10-29 22:27:43,1937
2025-10-29 22:27:49,2027
2025-10-29 22:27:54,2108
2025-10-29 22:27:59,2186
2025-10-29 22:28:05,2268
2025-10-29 22:28:10,2339
2025-10-29 22:28:15,1968
2025-10-29 22:28:21,2048
2025-10-29 22:28:26,2136
2025-10-29 22:28:31,2227
2025-10-29 22:28:37,2300
2025-10-29 22:28:42,2382
2025-10-29 22:28:47,2048
2025-10-29 22:28:53,2123
2025-10-29 22:28:58,2195
2025-10-29 22:29:03,2274
2025-10-29 22:29:09,2352
2025-10-29 22:29:14,1992
2025-10-29 22:29:20,2081
2025-10-29 22:29:25,2172
2025-10-29 22:29:30,2261
2025-10-29 22:29:36,2332
2025-10-29 22:29:41,2417
2025-10-29 22:29:46,2057
2025-10-29 22:29:52,2137
2025-10-29 22:29:57,2215
2025-10-29 22:30:02,2299
2025-10-29 22:30:08,2378
2025-10-29 22:30:13,2466
2025-10-29 22:30:19,2095
2025-10-29 22:30:24,2200
2025-10-29 22:30:29,2303
2025-10-29 22:30:35,2405
2025-10-29 22:30:40,2491
2025-10-29 22:30:45,2143
2025-10-29 22:30:51,2224
2025-10-29 22:30:56,2300
2025-10-29 22:31:02,2378
2025-10-29 22:31:07,2468
2025-10-29 22:31:12,2537
2025-10-29 22:31:18,2168
2025-10-29 22:31:23,2251
2025-10-29 22:31:28,2341
2025-10-29 22:31:34,2436
2025-10-29 22:31:39,2522
2025-10-29 22:31:44,2183
2025-10-29 22:31:50,2268
2025-10-29 22:31:55,2355
2025-10-29 22:32:00,2427
2025-10-29 22:32:06,2500
2025-10-29 22:32:11,2569
2025-10-29 22:32:16,2194
2025-10-29 22:32:22,2271
2025-10-29 22:32:27,2365
2025-10-29 22:32:33,ERR
2025-10-29 22:32:43,ERR
2025-10-29 22:32:48,ERR
2025-10-29 22:32:53,ERR
2025-10-29 22:32:58,ERR
2025-10-29 22:33:03,ERR
2025-10-29 22:33:08,ERR
2025-10-29 22:33:13,ERR
2025-10-29 22:33:18,ERR
2025-10-29 22:33:23,ERR
2025-10-29 22:33:28,ERR
2025-10-29 22:33:33,ERR
2025-10-29 22:33:38,ERR
2025-10-29 22:33:43,ERR
2025-10-29 22:33:48,ERR
2025-10-29 22:33:53,ERR
2025-10-29 22:33:58,ERR
2025-10-29 22:34:03,ERR
